Station,Station ID,La,,,Lo,,,,Latitude,Longitude
,,Degrees,Minutes,Seconds,Degrees,Minutes,Seconds,,Decimal,Decimal
Quarry Bay,6,22,17,16.4,114,12,35.1,,22.28788889,114.20975
North Point,7,22,17,28.6,114,12,1.8,,22.29127778,114.2005
Fortress Hill,8,22,17,18,114,11,38,,22.28833333,114.1938889
Tin Hau,9,22,16,56.8,114,11,30.2,,22.28244444,114.1917222
Causeway Bay,10,22,16,49.4,114,11,6.2,,22.28038889,114.1850556
Wan Chai,11,22,16,39.2,114,10,23.4,,22.27755556,114.1731667
Admiralty,12,22,16,45.9,114,9,52.3,,22.27941667,114.1645278
Central,13,22,16,55.2,114,9,27.6,,22.282,114.1576667
Sheung Wan,14,22,17,11.5,114,9,7.8,,22.28652778,114.1521667
Sai Ying Pun,15,22,17,8.3,114,8,33.9,,22.28563889,114.14275
HKU,16,22,17,2.3,114,8,6.1,,22.28397222,114.1350278
Kennedy Town,17,22,16,52.5,114,7,44,,22.28125,114.1288889
Admiralty,1,22,16,45.9,114,9,52.3,,22.27941667,114.1645278
Ocean Park,2,22,14,55.5,114,10,28.3,,22.24875,114.1745278
Wong Chuk Hang,3,22,14,52.8,114,10,4.9,,22.248,114.1680278
Lei Tung,4,22,14,32.8,114,9,21.4,,22.24244444,114.1559444
South Horizons,5,22,14,34.3,114,8,55.5,,22.24286111,114.14875
Hong Kong,1,22,17,4.9,114,9,29.4,,22.28469444,114.1581667
Kowloon,2,22,18,15.5,114,9,41.3,,22.30430556,114.1614722
Olympic,3,22,19,3.6,114,9,36.9,,22.31766667,114.16025
Nam Cheong,4,22,19,36.5,114,9,13.3,,22.32680556,114.1536944
Lai King,5,22,20,54.4,114,7,34.1,,22.34844444,114.1261389
Tsing Yi,6,22,21,30.6,114,6,27.6,,22.3585,114.1076667
Sunny Bay,7,22,19,54.2,114,1,44.6,,22.33172222,114.0290556
Tung Chung,8,22,17,21.4,113,56,29.1,,22.28927778,113.9414167
Hong Kong,1,22,17,4.9,114,9,29.4,,22.28469444,114.1581667
Kowloon,2,22,18,15.5,114,9,41.3,,22.30430556,114.1614722
Olympic,3,22,19,3.6,114,9,36.9,,22.31766667,114.16025
Nam Cheong,4,22,19,36.5,114,9,13.3,,22.32680556,114.1536944
Lai King,5,22,20,54.4,114,7,34.1,,22.34844444,114.1261389
Tsing Yi,6,22,21,30.6,114,6,27.6,,22.3585,114.1076667
Sunny Bay,7,22,19,54.2,114,1,44.6,,22.33172222,114.0290556
Airport,8,22,18,57.2,113,56,11.6,,22.31588889,113.9365556
AsiaWorld-Expo,9,22,19,15.1,113,56,30.6,,22.32086111,113.9418333
Sunny Bay,1,22,19,54.2,114,1,44.6,,22.33172222,114.0290556
Disneyland Resort,2,22,18,55.4,114,2,42.7,,22.31538889,114.0451944
Hong Kong West Kowloon,1,22,18,15.3,114,9,53.7,,22.30425,114.1649167
