ID_sequencing,ID_Environmental,Longitude,Latitude,Continent,Clay_silt,Soil_C,Soil_N,Soil_P,Soil_C_N_ratio,pH,Aridity_Index,MDR,MAXT,MINT,PSEA,Forest,Grassland,Shrubland,UV_Light,NPP2003_2015,Ecosystem_type,Low_pH_cluster,Drylands_cluster,High_pH_cluster,Dry_forest_cluster,Low_productivity_cluster
45,45,-96.970,43.550,North_America,57.2,4.979,0.42,822.978,11.854,7.1,0.636,12.8,29.6,-16.2,52,0,1,0,5.527,0.387911407,Cold grasslands,-0.375265908,-0.490931641,0.203369838,-0.604576402,-0.561621523
46,46,-96.780,44.040,North_America,61.3,4.423,0.4,704.374,11.057,6.4,0.627,12.7,28.9,-17.4,57,0,1,0,5.407,0.390687521,Cold grasslands,-0.161715883,-0.424831069,-0.165430134,-0.553484417,-0.57174459
47,47,-96.710,44.260,North_America,74,8.071,0.71,1083.28,11.368,7.9,0.617,12.6,28.7,-17.9,60,0,1,0,5.407,0.380996463,Cold grasslands,-0.529480473,-0.683151829,-0.054864167,-0.588180564,-0.710793854
48,48,-96.430,47.050,North_America,25.1,5.02,0.43,603.716,11.674,7.1,0.648,12.3,28.1,-21,57,0,1,0,4.722,0.359469053,Cold grasslands,-0.269602568,-0.592637931,0.016748946,-0.450886247,-0.34563214
49,49,-96.600,39.100,North_America,78,0.952,0.45,354.38,2.116,6.37,0.74,12.9,32.6,-8.9,51,0,1,0,6.41,0.460417974,Grasslands,-0.55957632,0.455430315,0.295291858,-0.403811992,0.478744749
50,50,-79.744,9.157,North_America,28.9,2.12,0.189,258.333,11.222,4.36,1.736,7,31.6,22.1,59,1,0,0,12.978,0.630087718,Tropical forests,-0.006134786,-0.757192789,-0.739079539,-0.399760241,-0.730370296
51,51,-79.743,9.161,North_America,42.8,2.165,0.189,174.818,11.425,4.51,1.775,7,31.6,22,59,1,0,0,12.978,0.630087718,Tropical forests,0.089961966,-0.761544225,-0.748388407,-0.384859935,-0.730370296
52,52,-79.772,9.158,North_America,57,4.679,0.371,195.316,12.61,5,1.797,7,31.3,21.8,58,1,0,0,12.978,0.630087718,Tropical forests,0.079614136,-0.748377722,-0.736449983,-0.461285577,-0.730370296
53,53,-71.233,-12.633,South_america,65,5.691,0.286,522.842,19.864,4.12,1.842,10.6,31.1,17.7,41,1,0,0,13.825,0.738406135,Tropical forests,0.272290162,-0.758362752,-0.704153956,-0.627338367,-0.38682435
54,54,-79.855,9.151,North_America,65,5.657,0.584,911.774,9.687,5.88,1.886,6.8,31,21.8,57,1,0,0,12.978,0.565379372,Tropical forests,-0.23928912,-0.728155886,-0.473449165,-0.557848019,-0.715663645
55,55,-111.004,45.574,North_America,50,8.349,0.467,1190.427,17.888,7,0.767,14.3,23.8,-13.7,25,1,0,0,6.588,0.485680506,Cold forests,-0.339293211,-0.563347817,-0.067377099,-0.503660139,-0.637790951
56,56,-111.004,45.574,North_America,50,9.095,0.718,1449.028,12.67,6.5,0.767,14.3,23.8,-13.7,25,1,0,0,6.588,0.485680506,Cold forests,-0.320390019,-0.590759541,-0.060748547,-0.570202181,-0.592529193
57,57,-111.004,45.574,North_America,25,9.295,0.371,316.182,25.079,4.9,0.767,14.3,23.8,-13.7,25,1,0,0,6.588,0.485680506,Cold forests,0.442863401,-0.709723441,-0.713829835,-0.582744638,-0.493258887
58,58,-111.004,45.574,North_America,25,3.299,0.098,203.294,33.671,4.9,0.767,14.3,23.8,-13.7,25,1,0,0,6.588,0.485680506,Cold forests,0.754802645,-0.755455172,-0.698074022,-0.603749264,-0.098947927
59,59,-111.004,45.574,North_America,25,2.643,0.129,646.087,20.514,5.9,0.767,14.3,23.8,-13.7,25,1,0,0,6.588,0.485680506,Cold forests,0.270510807,-0.546480559,-0.430749746,-0.434514397,-0.262602774
60,60,-111.004,45.574,North_America,20,2.61,0.402,875.475,6.492,7.1,0.767,14.3,23.8,-13.7,25,1,0,0,6.588,0.485680506,Cold forests,-0.360603054,-0.49301941,0.375203662,-0.488803479,-0.300488965
61,61,-111.004,45.574,North_America,5,10.674,1.012,1229.126,10.547,6.6,0.767,14.3,23.8,-13.7,25,1,0,0,6.588,0.485680506,Cold forests,-0.138162079,-0.69361871,-0.381513048,-0.578645921,-0.717722597
62,62,-111.004,45.574,North_America,50,2.242,0.121,264.132,18.488,5,0.767,14.3,23.8,-13.7,25,1,0,0,6.588,0.485680506,Cold forests,0.870720423,-0.648918228,-0.619853269,-0.487737157,-0.153024405
63,63,-111.004,45.574,North_America,50,4.556,0.313,826.644,14.557,5.9,0.767,14.3,23.8,-13.7,25,1,0,0,6.588,0.485680506,Cold forests,0.137232709,-0.537532427,-0.330012327,-0.491101239,0.042047375
64,64,-111.004,45.574,North_America,50,7.37,0.246,618.505,29.974,5.5,0.767,14.3,23.8,-13.7,25,1,0,0,6.588,0.485680506,Cold forests,0.447001363,-0.743041477,-0.67134972,-0.624300761,-0.565796501
65,65,-106.733,34.333,North_America,22,2.131,0.129,303.247,16.52,8.31,0.169,19.1,33.5,-7.2,64,0,0,1,9.072,0.17508609,Dry grasslands,0.610496277,-0.66609727,-0.619439378,-0.583035532,-0.661717188
66,66,-96.570,44.800,North_America,42,5.079,0.568,723.73,8.935,6.7,0.649,12.4,29,-17.3,54,0,1,0,5.286,0.396895883,Cold grasslands,-0.214696037,-0.563667633,-0.137245589,-0.422929392,-0.503775217
67,67,-149.583,68.633,North_America,57,2.61,0.178,702.757,14.653,4.58,0.61,11.5,16.6,-35.2,64,0,1,0,2.149,0.198092001,Cold grasslands,0.746800088,-0.741250476,-0.700416349,-0.604762737,-0.522120626
68,68,-79.745,9.162,North_America,57.9,2.454,0.242,371.129,10.157,5.36,1.775,7,31.6,22,59,1,0,0,12.978,0.630087718,Tropical forests,-0.004717801,-0.691819371,-0.654501308,-0.500352209,-0.690859516
69,69,146.212,-34.712,Australia,37.768,3.798,0.246,369.663,15.458,7.92,0.313,13.2,32.4,3.4,12,1,0,0,8.068,0.402422846,Dry forests,-0.487837474,0.508364294,0.498711143,-0.018399911,0.516407268
70,70,146.197,-34.713,Australia,45.42,5.557,0.166,638.981,33.478,7.36,0.311,13.2,32.4,3.4,12,1,0,0,8.068,0.367671173,Dry forests,-0.313139355,0.711769556,0.230029824,0.490893729,0.106912776
71,71,145.759,-33.358,Australia,42.297,2.272,0.145,478.88,15.69,7.37,0.268,13.3,32.9,3.5,14,1,0,0,8.397,0.38836566,Dry forests,0.295759468,0.832831742,-0.050115591,1.230339103,0.433747901
72,72,144.525,-35.344,Australia,41.691,8.071,0.125,451.59,64.466,6.02,0.288,13.2,31.8,3.7,17,1,0,0,7.801,0.463925782,Dry forests,0.959301498,1.45809582,-0.229637965,1.36813489,0.114185922
73,73,145.786,-34.521,Australia,39.695,6.425,0.309,555.633,20.813,6.77,0.293,13.4,32.4,3.4,18,1,0,0,8.016,0.42766,Dry forests,-0.071353966,0.947105212,0.382855504,1.029034767,0.032389615
74,74,146.347,-34.651,Australia,45.314,7.148,0.145,616.882,49.228,7.22,0.327,13.1,32.3,3.3,13,1,0,0,8.068,0.481390013,Dry forests,-0.400825151,1.230021227,0.387837207,0.635745073,-0.130618766
75,75,144.816,-35.410,Australia,38.314,3.393,0.219,397.755,15.487,7.09,0.283,13.2,31.7,3.6,15,1,0,0,7.801,0.424682006,Dry forests,-0.104056677,0.961647741,0.246616006,1.23511556,0.433100899
76,76,144.833,-35.413,Australia,61.958,8.405,0.288,543.117,29.174,7.11,0.284,13.2,31.8,3.6,15,1,0,0,7.801,0.424682006,Dry forests,-0.295233549,1.235670245,0.23212588,0.669795966,-0.187501366
77,77,146.187,-34.530,Australia,43.992,2.944,0.205,499.594,14.395,7.16,0.313,13.3,32.4,3.3,17,1,0,0,8.068,0.430082737,Dry forests,0.650577369,0.963069184,-0.46578916,2.423661909,-0.120339545
78,78,144.878,-35.504,Australia,38.358,5.835,0.175,667.091,33.441,8.23,0.295,13.2,31.6,3.7,15,1,0,0,7.702,0.392100788,Dry forests,-0.205296255,0.947974935,0.221739034,0.855776916,0.27792049
79,79,144.827,-35.494,Australia,35.714,5.457,0.314,747.524,17.402,7.88,0.29,13.2,31.6,3.7,15,1,0,0,7.801,0.424682006,Dry forests,0.305152402,0.729075459,0.091269666,1.560845183,0.484527503
80,80,144.819,-35.490,Australia,27.548,9.751,0.415,940.107,23.519,6.98,0.29,13.2,31.7,3.6,15,1,0,0,7.801,0.424682006,Dry forests,-0.122042829,0.958029688,0.240303466,0.952621669,0.287121674
81,81,145.582,-33.457,Australia,65.117,2.672,0.155,291.562,17.252,8.27,0.269,13.1,32.6,3.5,15,1,0,0,8.397,0.391823167,Dry forests,-0.344711081,0.819132474,0.227928977,0.50671421,0.073094379
82,82,145.596,-33.456,Australia,47.162,1.943,0.186,394.13,10.438,9.21,0.269,13.1,32.6,3.4,14,1,0,0,8.397,0.391823167,Dry forests,-0.512888139,0.873752654,0.602129221,0.230647762,0.099551387
83,83,146.386,-34.558,Australia,76,6.87,0.135,756.415,50.888,7.77,0.323,13.2,32.4,3.3,13,1,0,0,8.068,0.456556551,Dry forests,-0.045819098,0.593957538,0.099815746,1.003601725,0.24197304
84,84,145.758,-33.351,Australia,79.2,3.967,0.144,512.201,27.549,8.04,0.268,13.3,32.9,3.5,14,1,0,0,8.397,0.38836566,Dry forests,-0.241101603,1.251259797,0.240570454,0.612411655,-0.102648635
85,85,145.559,-33.475,Australia,79.2,2.681,0.174,236.999,15.409,8.84,0.268,13.1,32.6,3.4,15,1,0,0,8.397,0.391823167,Dry forests,-0.348628945,1.45973955,0.520849578,0.878811289,0.329269086
86,86,145.748,-33.346,Australia,51.657,2.962,0.136,448.766,21.728,8.33,0.267,13.3,32.9,3.5,15,1,0,0,8.397,0.38836566,Dry forests,-0.366419352,0.843458846,0.550521862,0.454622364,-0.24298163
87,87,145.252,-31.865,Australia,67.395,1.747,0.114,284.238,15.337,7.6,0.225,13.3,33.8,4.5,23,1,0,0,8.816,0.351216532,Dry forests,0.212183061,1.068973348,-0.03040443,1.205923056,0.669686213
88,88,145.262,-31.845,Australia,77.635,2.187,0.117,246.618,18.663,6.53,0.224,13.3,33.9,4.4,23,1,0,0,8.816,0.351216532,Dry forests,0.357726812,0.713527801,-0.325802698,1.216621175,0.369209181
89,89,145.592,-32.634,Australia,84.647,1.222,0.14,108.653,8.752,7.89,0.267,13.3,33,3.7,19,1,0,0,8.575,0.391469833,Dry forests,0.111138729,0.46439054,0.086436732,1.151582926,0.658266702
90,90,145.613,-32.640,Australia,76.71,2.512,0.112,277.625,22.41,7.89,0.272,13.3,32.9,3.7,19,1,0,0,8.575,0.382889192,Dry forests,-0.013658255,0.819459414,0.192732063,0.864105395,0.531145897
91,91,145.766,-33.990,Australia,57.631,2.459,0.152,234.102,16.155,6.44,0.286,13.3,32.6,3.3,13,1,0,0,8.261,0.332364372,Dry forests,-0.07913318,0.638968868,0.066766344,1.272931587,0.763426172
92,92,145.775,-33.985,Australia,74.457,3.398,0.115,333.719,29.518,6.47,0.286,13.3,32.6,3.3,13,1,0,0,8.261,0.332364372,Dry forests,0.044469714,1.010861583,0.098251431,1.126194747,0.398564506
93,93,145.698,-33.994,Australia,66.917,2.152,0.139,182.472,15.514,6.11,0.284,13.3,32.5,3.3,14,1,0,0,8.261,0.328250712,Dry forests,0.107094041,0.569527337,0.022415418,1.087592124,1.04034658
94,94,145.632,-33.797,Australia,62.737,1.653,0.106,100.582,15.539,6.33,0.273,13.3,32.6,3.4,15,1,0,0,8.261,0.318786763,Dry forests,0.389174119,0.724421582,-0.185511734,1.210209601,0.529112325
95,95,145.638,-33.794,Australia,74.958,2.027,0.104,169.209,19.473,5.98,0.277,13.2,32.6,3.4,14,1,0,0,8.261,0.318786763,Dry forests,0.439697294,1.230957174,-0.352968105,1.403594085,0.238645545
96,96,146.482,-34.798,Australia,73.102,1.898,0.159,180.286,11.968,5.76,0.337,13.1,32.3,3.3,15,1,0,0,8.068,0.455572391,Dry forests,0.698023072,0.608700468,-0.402759372,1.357856314,0.562630342
97,97,146.491,-34.825,Australia,71.236,2.076,0.147,150.044,14.162,6.01,0.352,13.1,32.2,3.1,15,1,0,0,8.068,0.410902571,Dry forests,0.265461709,0.064682536,-0.100661513,0.644018947,0.70550371
98,98,145.992,-34.762,Australia,85.524,1.836,0.092,206.866,20.02,6.02,0.294,13.4,32.5,3.4,14,1,0,0,8.016,0.424303455,Dry forests,0.301168142,1.367052777,-0.156323481,1.390933346,0.4133503
99,99,145.906,-34.748,Australia,79.085,1.538,0.15,324.191,10.279,5.78,0.293,13.3,32.5,3.4,16,1,0,0,8.016,0.424303455,Dry forests,0.561462719,0.789388505,-0.322650105,1.328324399,0.248702168
100,100,146.466,-34.812,Australia,77.428,2.534,0.094,246.727,26.961,5.89,0.338,13.1,32.4,3.3,15,1,0,0,8.068,0.410902571,Dry forests,0.763398207,0.731439438,-0.397794177,1.599246222,0.098651447
101,101,145.588,-33.842,Australia,61.8,2.232,0.179,288.793,12.468,6.5,0.275,13.3,32.6,3.4,14,1,0,0,8.261,0.326156019,Dry forests,0.185967301,0.377559787,-0.113673259,1.71202205,1.036524705
102,102,145.884,-34.797,Australia,27.6,3.193,0.172,276.259,18.563,5.86,0.293,13.4,32.5,3.4,17,1,0,0,8.016,0.418196077,Dry forests,0.642278207,0.535616955,-0.289935807,1.455140428,0.086585752
103,103,145.680,-32.626,Australia,22.3,3.331,0.187,198.796,17.812,7.75,0.265,13.3,33.1,3.8,19,1,0,0,8.575,0.382889192,Dry forests,-0.078057825,1.287815637,0.058977465,1.060647345,0.130644277
104,104,145.264,-31.876,Australia,37.1,2.743,0.115,112.478,23.853,7.36,0.229,13.3,33.8,4.3,22,1,0,0,8.816,0.351216532,Dry forests,0.192484322,0.870757949,-0.123788724,1.373547022,0.262852968
105,105,145.976,-34.554,Australia,23.468,4.801,0.266,641.513,18.055,6,0.294,13.3,32.4,3.3,15,1,0,0,8.016,0.462033032,Dry forests,0.777387343,0.929044431,-0.168406654,1.507330431,0.127661298
106,106,145.965,-34.557,Australia,39.947,3.967,0.266,459.278,14.895,6.06,0.294,13.3,32.4,3.3,15,1,0,0,8.016,0.462033032,Dry forests,0.493943411,0.428291591,-0.048230805,1.223659618,-0.145629625
107,107,145.829,-34.557,Australia,28.631,7.393,0.374,752.206,19.772,5.66,0.297,13.3,32.4,3.3,17,1,0,0,8.016,0.448531141,Dry forests,1.179819395,0.767896899,-0.380563438,1.013742683,-0.370723799
108,108,145.788,-34.566,Australia,24.906,6.392,0.399,856.25,16.039,5.84,0.295,13.4,32.4,3.4,18,1,0,0,8.016,0.42766,Dry forests,1.171797554,1.274793302,-0.398026606,1.705477405,-0.285898673
109,109,145.780,-34.538,Australia,23.61,10.418,0.35,722.711,29.775,5.85,0.297,13.4,32.4,3.4,17,1,0,0,8.016,0.42766,Dry forests,1.38109678,0.802916245,-0.387499889,0.873001876,-0.412176857
110,110,145.891,-35.935,Australia,20.612,7.137,0.316,754.447,22.585,7.05,0.386,12.9,31.3,3.4,16,1,0,0,7.754,0.501150833,Temperate forests,1.462995552,-0.291704371,-0.607619843,0.606760066,-0.642005115
111,111,145.879,-35.951,Australia,22.381,8.583,0.428,783.232,20.063,5.58,0.387,12.9,31.3,3.4,17,1,0,0,7.754,0.501150833,Temperate forests,1.172834433,-0.13661667,-0.537699631,0.644169879,-0.327263848
112,112,145.748,-35.953,Australia,24.476,6.091,0.299,853.335,20.345,6.48,0.379,12.9,31.2,3.4,16,1,0,0,7.754,0.519245891,Temperate forests,1.804485365,0.396221721,-0.597235553,1.674010904,-0.279336839
113,113,145.686,-35.923,Australia,31.67,6.436,0.33,623.878,19.503,5.15,0.378,13,31.2,3.4,17,1,0,0,7.754,0.562123808,Temperate forests,1.390862048,0.037601957,-0.636885292,0.732866163,-0.492064106
114,114,145.649,-35.885,Australia,20.62,8.661,0.348,841.548,24.887,5.31,0.371,13,31.3,3.3,17,1,0,0,7.754,0.476544545,Temperate forests,1.215906667,-0.013056031,-0.579634472,0.866336745,-0.587522396
115,115,145.602,-35.864,Australia,23.303,6.28,0.349,750.803,17.995,5.58,0.365,13.1,31.4,3.3,17,1,0,0,7.754,0.476544545,Temperate forests,1.07089618,-0.077514642,-0.482702003,0.677837486,-0.591358729
116,116,144.615,-35.358,Australia,33.464,4.234,0.202,508.066,20.969,6.77,0.285,13.2,31.8,3.7,16,1,0,0,7.801,0.393615013,Dry forests,1.549553545,0.246267464,-0.690133506,1.000364484,-0.508426359
117,117,144.581,-35.351,Australia,33.429,5.58,0.218,365.673,25.629,5.36,0.288,13.2,31.8,3.7,16,1,0,0,7.801,0.463925782,Dry forests,1.536622909,0.273063344,-0.538051557,0.853869766,-0.543517453
118,118,144.574,-35.329,Australia,31.274,6.67,0.262,636.467,25.447,7.05,0.286,13.2,31.7,3.7,16,1,0,0,7.801,0.463925782,Dry forests,1.529797633,1.36363981,-0.63125028,1.123834552,-0.289384863
119,119,144.647,-35.351,Australia,39.006,4.423,0.229,460.134,19.355,6.47,0.279,13.2,31.8,3.7,16,1,0,0,7.801,0.393615013,Dry forests,1.675304152,0.306830806,-0.674907236,1.11014156,-0.530633087
120,120,145.706,-34.524,Australia,89.9,2.32,0.358,381.195,6.481,6.14,0.299,13.4,32.4,3.4,18,1,0,0,8.016,0.42766,Dry forests,0.50068907,0.494486136,-0.149569369,1.039879263,0.151385735
121,121,144.535,-35.386,Australia,76.2,7.348,0.219,1015.002,33.553,7.85,0.291,13.2,31.6,3.7,17,1,0,0,7.801,0.463925782,Dry forests,0.349532336,1.432574122,-0.215408648,1.754272815,-0.226207998
122,122,144.527,-35.352,Australia,87.4,5.535,0.313,536.158,17.684,7.11,0.288,13.2,31.8,3.7,17,1,0,0,7.801,0.463925782,Dry forests,0.953484162,1.50500231,-0.411039798,1.268538293,-0.085890577
123,123,-2.285,52.049,Europe,70,6.18,0.404,868.929,15.3,5.68,0.993,7.3,20.7,1.1,12,0,1,0,3.618,0.664889962,Grasslands,0.133550566,-0.631518627,-0.476961186,-0.578537425,-0.590851018
124,124,-2.067,52.171,Europe,70,7.437,0.34,1274.008,21.895,6.34,0.941,7.4,20.8,0.8,12,0,1,0,3.618,0.643917731,Grasslands,-0.18782985,-0.625099784,-0.255115117,-0.58196877,-0.681116525
125,125,-2.079,52.243,Europe,70,7.771,0.329,863.045,23.593,6.5,0.972,7.4,20.5,0.6,11,0,1,0,3.618,0.676675788,Grasslands,-0.378608686,-0.699802992,-0.213879921,-0.630099757,-0.70824758
126,126,-2.008,52.250,Europe,70,7.882,0.395,837.23,19.943,6.86,0.966,7.4,20.6,0.6,12,0,1,0,3.618,0.676675788,Grasslands,-0.417237218,-0.629563901,-0.008863684,-0.587552593,-0.64929933
127,127,-2.033,52.282,Europe,70,6.603,0.384,995.873,17.215,6.03,0.99,7.4,20.4,0.5,11,0,1,0,3.618,0.676675788,Grasslands,-0.187152823,-0.588113538,-0.342697121,-0.648711772,-0.618411049
138,128,-2.900,51.066,Europe,70,4.044,0.613,698.572,6.593,5.55,1.262,6.9,20.8,1.1,18,0,1,0,3.78,0.696133814,Grasslands,0.05153641,-0.607935315,-0.604505367,-0.590700035,-0.605506829
145,129,-2.341,54.168,Europe,85,8.111,0.743,1220.558,10.917,6.71,2.215,7,18.3,-1,23,0,1,0,3.367,0.60396731,Grasslands,-0.410598966,-0.734135365,-0.175219153,-0.579138137,-0.730370296
149,130,-3.876,50.809,Europe,80,4.679,0.257,1313.232,18.221,4.74,1.791,6.1,19.7,1.6,25,0,1,0,3.859,0.729346077,Grasslands,0.022453046,-0.695071681,-0.714995415,-0.606293407,-0.664002148
151,131,-4.428,50.835,Europe,85,4.356,0.188,1406.946,23.196,5.18,1.692,5.7,19.5,2.4,25,0,1,0,3.838,0.763239673,Grasslands,-0.212512201,-0.751410011,-0.686133752,-0.657223087,-0.681428403
160,132,0.819,52.440,Europe,30,9.09,0.283,1805.822,32.118,4.72,0.922,7.1,20.6,-0.3,11,0,1,0,3.556,0.610175538,Grasslands,0.34778985,-0.751546627,-0.734968736,-0.597838079,-0.730370296
165,133,-2.004,51.814,Europe,70,2.943,0.442,1375.246,6.657,7.62,1.147,7.4,20,-0.3,13,0,1,0,3.702,0.64285784,Grasslands,-0.43564013,-0.684484389,-0.11351706,-0.67370058,-0.697227588
172,134,-69.676,-41.808,South_america,9.504,0.697,0.057,987.911,12.228,6.759,0.215,13.7,22.8,-4.5,51,0,1,0,7.488,0.159943776,Grasslands,-0.162159148,-0.083855096,0.111534653,-0.24708667,0.68187141
173,135,-71.059,-41.004,South_america,33.871,2.179,0.19,1529.923,11.481,6.5,0.731,12,21,-2.8,66,0,1,0,7.503,0.314849744,Grasslands,0.408021083,-0.436980157,-0.2404951,-0.466296915,0.193623029
174,136,-70.081,-41.253,South_america,28.695,1.458,0.119,924.021,12.276,6.976,0.281,13.4,22.7,-3.8,65,0,0,1,7.535,0.180007337,Shrublands,-0.25270696,0.299307154,0.189828169,-0.404710914,0.694517573
175,137,-70.525,-41.034,South_america,26.361,0.914,0.078,882.865,11.729,6.832,0.417,12.9,22.5,-2.8,72,0,0,1,7.503,0.210266817,Shrublands,-0.208665624,0.395478388,0.044744819,-0.093121031,0.451514157
176,138,142.557,-34.204,Australia,22.826,2.061,0.204,233.457,10.118,7.487,0.218,13.8,32.6,3.8,13,1,0,0,8.047,0.385160538,Dry forests,-0.567081912,-0.197358433,0.666887297,-0.515501177,1.385014981
177,139,142.482,-34.248,Australia,21.496,1.124,0.073,178.518,15.403,6.78,0.214,13.8,32.6,3.8,14,1,0,0,8.047,0.380188814,Dry forests,-0.369721576,0.120378115,0.431661106,0.248801671,0.324538993
178,140,142.509,-34.019,Australia,26.13,1.365,0.094,204.508,14.572,7.398,0.211,13.8,32.7,3.8,13,1,0,0,8.047,0.342156385,Dry forests,-0.595964552,0.095285484,0.837387975,-0.388688736,1.34933532
179,141,142.460,-33.960,Australia,13.704,1.021,0.1,189.702,10.213,7.082,0.213,13.8,32.6,3.8,13,1,0,0,8.193,0.328704968,Dry forests,-0.477822833,0.38683268,0.373865093,-0.245114634,0.705289463
180,142,142.686,-33.931,Australia,22.755,1.385,0.113,215.726,12.285,7.297,0.212,13.8,32.8,3.8,12,1,0,0,8.193,0.355229244,Dry forests,-0.42949771,0.12570244,0.573982405,-0.236234238,1.628160026
181,143,146.310,-31.556,Australia,41.887,1.951,0.132,315.811,14.804,6.818,0.303,13,33.2,4,24,0,0,1,8.795,0.348617103,Dry grasslands,-0.179276515,-0.004354314,0.216916702,0.045596418,1.035761943
182,144,147.708,-31.858,Australia,72.111,2.633,0.202,778.903,13.009,6.257,0.337,13.7,33.4,3.9,25,0,0,1,8.831,0.383747301,Dry grasslands,-0.215748586,-0.129760587,0.27383365,0.040999751,0.53120149
183,145,-71.245,-29.311,South_america,28.888,0.317,0.039,253.5,8.194,7.758,0.059,9.4,24,7.6,110,0,0,1,11.19,0.216147077,Dry grasslands,-0.112270607,1.318739267,-0.181187692,-0.013826431,0.149791341
184,146,-71.251,-29.750,South_america,24.523,0.873,0.125,1051.895,6.988,7.288,0.076,8.3,22.6,7.6,104,0,0,1,11.509,0.226115782,Dry grasslands,-0.354706666,0.592051061,0.514133258,0.061080037,0.735293916
185,147,-71.664,-30.662,South_america,15.083,0.946,0.103,1035.068,9.209,6.742,0.118,8.9,24,7.5,127,0,0,1,10.431,0.339531718,Dry grasslands,-0.199910821,0.693753933,-0.093102881,0.282781603,-0.093607707
186,148,-71.585,-31.200,South_america,29.448,1.41,0.128,215.71,11.039,6.608,0.154,10.3,23.9,5.7,114,0,0,1,10.4,0.316288276,Dry grasslands,-0.144971668,2.238091955,-0.000502249,0.174921846,0.459221237
187,149,119.177,49.263,Asia,38.157,2.651,0.305,691.922,8.685,6.627,0.459,13,26.1,-31.1,113,0,1,0,4.397,0.229144002,Boreal,-0.189456577,-0.386628523,0.009925796,-0.000479917,0.643872321
188,150,118.404,49.494,Asia,18.105,1.581,0.146,337.777,10.803,6.707,0.436,13.3,26.5,-31.7,116,0,1,0,4.356,0.220866203,Cold grasslands,0.080623878,-0.184042414,-0.105670517,0.249766515,0.555420829
189,151,117.272,49.525,Asia,31.941,2.699,0.259,737.783,10.441,6.672,0.429,13.3,26.2,-31.6,120,0,1,0,4.366,0.213825053,Cold grasslands,-0.015978181,-0.074494144,0.065383514,0.33971982,0.520695165
190,152,116.995,49.032,Asia,33.778,2.18,0.225,686.402,9.673,7.098,0.355,12.8,26.9,-28.5,124,0,1,0,4.356,0.200827902,Cold grasslands,-0.303580891,0.363895401,0.166961064,0.266508448,0.98523939
191,153,116.787,48.610,Asia,34.219,2.034,0.188,640.654,10.81,7.118,0.321,12.5,27,-26.4,127,0,1,0,4.455,0.186922196,Dry grasslands,-0.397167777,-0.132317816,0.167458972,0.147848458,1.306823838
192,154,116.016,48.223,Asia,25,1.174,0.13,427.572,9.066,7.124,0.242,12.7,27.5,-24.9,105,0,1,0,4.559,0.201105551,Dry grasslands,-0.356675523,-0.197456512,0.249653384,0.070114185,0.861318854
193,155,58.670,36.696,Asia,77.301,2.691,0.191,1165.825,14.06,7.427,0.264,14.9,28.9,-11.7,77,0,0,1,7.901,0.135438324,Shrublands,-0.529996862,-0.08425482,0.935968242,-0.447887682,0.321160299
194,156,56.561,37.371,Asia,74.833,1.432,0.119,986.384,11.997,7.752,0.195,13.7,32,-6.9,72,0,0,1,7.843,0.126175792,Dry grasslands,-0.567254982,0.003771066,0.939457211,-0.488672371,0.09166
195,157,58.110,37.429,Asia,50.327,0.918,0.066,685.837,13.859,7.756,0.248,14.1,31.8,-8.8,72,0,0,1,7.618,0.164562094,Shrublands,-0.530144735,0.348277474,0.719339482,-0.275369008,0.40240839
196,158,34.821,31.358,Asia,51.164,1.795,0.177,463.779,10.15,8.024,0.201,12,32,6.6,104,0,0,1,8.319,0.216929417,Dry grasslands,-0.543788855,0.471687745,0.747503737,-0.370483467,0.696639766
197,159,-99.656,22.247,North_America,58.036,3.316,0.336,677.904,9.88,8.008,0.275,14.8,32.7,8.1,85,0,0,1,11.007,0.515788256,Shrublands,-0.592750859,-0.340448068,0.548814171,-0.522889699,1.053315514
198,160,-100.944,23.602,North_America,51.875,2.027,0.215,603.83,9.413,8.312,0.211,17.7,30.2,3.5,55,0,0,1,11.702,0.297915609,Dry grasslands,-0.570739722,0.169359464,0.617068045,-0.395134153,0.516452362
199,161,-100.421,22.645,North_America,55.592,2.142,0.214,812.818,10.012,8.43,0.338,16,29.8,4.9,71,0,0,1,11.493,0.554224519,Dry grasslands,-0.583816893,-0.259466853,0.485636632,-0.557788005,0.345406673
200,162,-99.895,22.648,North_America,72.949,2.296,0.235,971.796,9.762,8.412,0.321,14.9,33.9,8.2,76,0,0,1,11.064,0.360958083,Shrublands,-0.562055119,-0.034019282,0.606895281,-0.515780312,0.46608364
201,163,-101.055,23.255,North_America,43.142,2.464,0.449,691.945,5.491,8.15,0.228,16.6,29.5,3.7,58,0,1,0,12.094,0.331052026,Dry grasslands,-0.570671362,-0.1471989,0.50156749,-0.353017563,0.939318312
202,164,-101.274,23.205,North_America,35.88,2.201,0.256,563.99,8.601,8.024,0.209,17,29.8,3.8,63,0,1,0,12.094,0.270962301,Dry grasslands,-0.533576796,0.425808079,0.555195058,-0.28965893,0.784113764
203,165,-101.249,23.738,North_America,48.398,1.571,0.182,395.872,8.64,8.343,0.18,18.2,30.5,3.4,56,0,0,1,11.995,0.252589635,Dry grasslands,-0.559321361,-0.196073347,0.58908405,-0.499453127,0.616461937
