ID_sequencing,ID_Environmental,Longitude,Latitude,Continent,Clay_silt,Soil_C,Soil_N,Soil_P,Soil_C_N_ratio,pH,Aridity_Index,MDR,MAXT,MINT,PSEA,Forest,Grassland,Shrubland,UV_Light,NPP2003_2015,Ecosystem_type,Low_pH_cluster,Drylands_cluster,High_pH_cluster,Dry_forest_cluster,Low_productivity_cluster
243,205,-112.022,37.507,North_America,16.979,1.059,0.067,334.4,15.826,8.09,0.203,16.8,31.9,-8.1,27,0,0,1,8.539,0.195679725,Shrublands,-0.468233687,0.937256735,0.515847618,0.025590792,0.311495425
244,206,-109.414,37.730,North_America,32.262,2.424,0.2,263.243,12.093,7.638,0.34,14.6,29.5,-10,27,0,0,1,8.565,0.341752497,Dry grasslands,-0.596817726,-0.031166073,0.14112321,-0.597155332,0.171788453
245,207,-110.517,38.003,North_America,11.791,0.412,0.052,201.073,7.965,8.672,0.117,16.6,35.7,-8.9,30,0,0,1,8.042,0.164284681,Dry grasslands,-0.574650075,0.721885864,0.551821882,-0.500701402,0.213395369
246,208,-111.857,36.685,North_America,9.933,0.233,0.02,147.2,11.782,8.306,0.137,15.5,34.1,-5.5,30,0,0,1,8.471,0.154870983,Dry grasslands,-0.561889288,0.868987223,0.472146548,-0.406709321,0.45400349
247,209,-115.796,33.754,North_America,22.845,0.736,0.085,591.413,8.62,8.176,0.135,15.4,36.9,1.8,47,0,0,1,7.807,0.161104519,Dry grasslands,-0.560117584,0.794617885,0.426297891,-0.374529206,0.437252801
248,210,-115.812,33.751,North_America,9.933,0.313,0.078,441.578,4.012,8.656,0.127,15.5,37.2,2,47,0,0,1,7.807,0.161382135,Dry grasslands,-0.533698842,1.818256913,0.143669603,-0.208671864,0.35059022
249,211,-69.947,9.666,South_america,59.628,3.945,0.448,1074.655,8.809,6.994,0.495,10,27.9,16,41,0,0,1,13.281,0.617090558,Shrublands,-0.238055735,-0.371763969,0.342392699,-0.032175818,0.339215071
250,212,147.388,-33.845,Australia,30,3.196,0.202,318.338,15.816,6.74,0.364,13.1,32.1,3.1,14,1,0,0,8.403,0.411760609,Temperate forests,-0.073092132,0.062059937,0.190530607,0.497288444,0.601260162
251,213,146.209,-34.358,Australia,35,4.163,0.442,600.575,9.415,8.47,0.308,13.3,32.4,3.2,14,1,0,0,8.162,0.427458103,Dry forests,-0.327008953,0.514576891,0.383975126,0.155176952,-0.002447965
252,214,146.309,-34.415,Australia,44,4.932,0.123,272.359,39.975,8.93,0.317,13.3,32.4,3.2,14,1,0,0,8.162,0.445376506,Dry forests,-0.544894664,0.131222351,0.671337395,-0.166793786,-0.069886546
253,215,146.576,-34.284,Australia,41,2.418,0.106,218.363,22.841,6.44,0.332,13.2,32.4,3.3,13,1,0,0,8.199,0.359797237,Temperate forests,-0.465166327,0.203827542,0.67485179,-0.073801539,0.677285287
254,216,146.920,-34.346,Australia,34,1.737,0.633,504.515,2.745,8.66,0.353,13.1,32.2,3.1,13,1,0,0,8.199,0.387633891,Temperate forests,-0.092694413,0.373683974,0.326627838,-0.104011883,-0.565637206
255,217,147.423,-34.435,Australia,30,9.657,0.243,209.738,39.791,7.07,0.423,13.2,31.8,2.5,14,1,0,0,8.277,0.430309962,Temperate forests,0.437328966,0.179435127,-0.197555347,0.519017174,-0.397904044
256,218,149.888,-34.744,Australia,32,4.865,0.254,175.641,19.175,5.52,0.61,12.3,26.5,0.7,14,1,0,0,8.193,0.565177391,Temperate forests,0.725386128,0.123727272,-0.49399417,-0.171377994,-0.517768724
257,219,150.862,-33.655,Australia,35,3.456,0.24,227.958,14.419,5.465,0.654,12,28.4,4.1,30,1,0,0,8.235,0.591297968,Temperate forests,0.250201146,-0.457568755,-0.140429991,-0.10963805,-0.45028562
258,220,150.771,-33.622,Australia,39,8.447,0.269,576.724,31.351,5.63,0.652,12.7,28.9,3.5,32,1,0,0,8.235,0.56464741,Temperate forests,0.632060467,-0.487692686,-0.68994347,-0.016657665,-0.680612232
259,221,148.919,-34.363,Australia,33,3.873,0.184,186.683,21.049,5.12,0.58,13.7,28.7,0,13,1,0,0,8.565,0.566010462,Temperate forests,0.67835938,-0.723190448,-0.71636993,-0.505254835,-0.680698295
260,222,148.948,-33.981,Australia,34,2.449,0.134,118.874,18.271,6.18,0.473,14.3,30.6,1.1,14,1,0,0,8.732,0.435559186,Temperate forests,0.534239265,-0.045893799,-0.16189734,0.421405246,0.269259179
261,223,148.609,-33.834,Australia,39,7.316,0.421,454.321,17.378,7.24,0.444,14.3,31.8,2,15,1,0,0,8.732,0.509908109,Temperate forests,-0.188359277,0.253096952,0.405314394,0.295743211,-0.239942156
262,224,148.173,-33.506,Australia,38,9.079,0.454,385.054,20.016,8.1,0.432,13.8,32.4,2.8,15,1,0,0,8.617,0.437654019,Temperate forests,-0.404407251,1.387131397,0.348619868,0.646339384,-0.400937719
263,225,148.203,-33.730,Australia,37,4.745,0.331,282.991,14.314,7.35,0.465,13.8,31.9,2.5,13,1,0,0,8.617,0.503094045,Temperate forests,-0.21926666,-0.175506167,0.494105692,-0.074148924,-0.382305543
264,226,148.164,-33.324,Australia,33,8.818,0.474,446.994,18.596,8.48,0.429,13.6,32.4,3.2,15,1,0,0,8.643,0.456203321,Temperate forests,-0.123549041,0.153849453,0.323605312,0.088152745,-0.590716324
265,227,150.239,-34.506,Australia,29,2.882,0.091,86.081,31.807,5.93,0.762,11.7,25.4,0.9,20,1,0,0,7.979,0.639602218,Temperate forests,0.677377928,0.42158343,-0.227439984,0.291688597,-0.493868068
266,228,145.726,-34.000,Australia,37,3.029,0.277,394.7,10.947,6.36,0.286,13.3,32.5,3.4,13,1,0,0,8.12,0.342358295,Dry forests,-0.266295689,0.00946432,0.63295431,-0.060540008,0.06458731
267,229,146.071,-34.254,Australia,32,2.531,0.222,263.626,11.4,8.9,0.296,13.4,32.2,3.1,13,1,0,0,8.162,0.444518385,Dry forests,-0.411777577,0.011347898,0.478684888,-0.091816385,0.587447732
268,230,150.994,-33.910,Australia,39,5.472,0.478,390.072,11.439,6,0.798,10.6,27.3,5.6,28,1,0,0,8.235,0.489617224,Temperate forests,-0.12426983,0.092753482,0.212933384,-0.037548219,-0.29990921
269,231,151.057,-33.982,Australia,33,12.321,0.616,150.402,20.014,4.83,0.924,10,23.9,19.5,28,1,0,0,8.115,0.408353506,Temperate forests,0.180027869,-0.719437648,-0.713883586,-0.439242965,-0.718014983
270,232,142.084,-34.128,Australia,33,1.08,0.044,189.728,24.8,7.334,0.199,13.7,32.7,4.2,14,1,0,0,8.047,0.364567,Dry forests,-0.297034121,0.730629119,0.243513181,0.490184843,0.670769398
271,233,142.205,-34.159,Australia,32,1.547,0.085,143.822,18.201,9,0.203,13.7,32.7,4.1,15,1,0,0,8.047,0.3350395,Dry forests,-0.481908211,0.710205153,0.599018067,-0.083359775,0.093288593
272,234,-67.636,-54.935,South_america,50,20.425,1.572,576.097942,12.994,4.78,0.924,7.9,13.8,-1.5,15,1,0,0,4.021,0.441363827,Cold forests,0.8530631,-0.711346452,-0.629213733,-0.579020962,-0.715177375
273,235,-67.635,-54.954,South_america,58,17.135,0.895,726.9112025,19.154,5.38,0.998,7.9,12.9,-2.4,15,1,0,0,4.021,0.441363827,Cold forests,0.492685779,-0.628920523,-0.492312582,-0.559982888,-0.687535637
274,236,-67.633,-54.959,South_america,60,6.008,0.352,584.4627884,17.081,4.17,1.129,8.1,11.3,-4.1,15,1,0,0,4.021,0.441363827,Cold forests,0.67065292,-0.695430256,-0.687928883,-0.505544021,-0.469256302
275,237,-67.633,-54.972,South_america,59,0.82,0.112,666.6351033,7.293,4.75,1.146,8.1,11,-4.4,15,0,0,1,4.021,0.441363827,Shrublands,0.017618282,-0.765860883,-0.719237714,-0.35292244,-0.448556669
