"","Sample","Sea","longitude","latitude","seaPred","longPred","latPred"
"77","ERS493877","North.Pacific.Ocean",-79.3017,7.4122,"North.Pacific.Ocean",-46.9291191101074,11.0936851501465
"78","ERS490327","South.Atlantic.Ocean",-3.1759,-20.4091,"South.Pacific.Ocean",-22.6441421508789,-14.0357484817505
"79","ERS491836","South.Pacific.Ocean",-95.9759,-13.0023,"South.Pacific.Ocean",-109.226097106934,-8.60223484039307
"80","ERS478040","Mediterranean.Sea",32.8118,33.9235,"Mediterranean.Sea",32.8566304867946,28.6306041529426
"81","ERS492445","South.Pacific.Ocean",-129.4997,-23.2189,"South.Pacific.Ocean",-102.604156494141,-0.106104411184788
"82","ERS494236","North.Atlantic.Ocean",-71.3093,34.6712,"North.Atlantic.Ocean",-52.1846885681152,15.8525104522705
"83","ERS494170","North.Atlantic.Ocean",-70.0377,39.2305,"South.Atlantic.Ocean",-6.52693891525269,-11.3675603866577
"84","ERS493636","North.Pacific.Ocean",-116.6261,14.2035,"South.Pacific.Ocean",-84.181282043457,-1.85195517539978
"85","ERS492294","South.Pacific.Ocean",-84.6141,-1.8902,"South.Pacific.Ocean",-88.9881362915039,-8.48345184326172
"86","ERS490065","INDIAN.OCEAN",26.2905,-35.1889,"South.Atlantic.Ocean",-1.50163408040007,5.03824575441077
"87","ERS488486","Mediterranean.Sea",19.3905,39.3888,"Mediterranean.Sea",-18.2222728729248,22.8289337158203
"88","ERS489733","Mozambique.Channel",42.7401,-17.0248,"Red.Sea",40.2226408221104,-2.68810434327642
"89","ERS491001","South.Atlantic.Ocean",-60.6476,-60.2287,"South.Atlantic.Ocean",-51.3017120361328,-48.9261512756348
"90","ERS491421","South.Pacific.Ocean",-73.1066,-34.0614,"South.Pacific.Ocean",-70.3615653143995,-18.3979981421674
"91","ERS492471","South.Pacific.Ocean",-129.5986,-23.2232,"South.Atlantic.Ocean",1.81836998862363,6.26062592205889
"92","ERS491767","South.Pacific.Ocean",-111.6906,-25.8076,"South.Atlantic.Ocean",-32.8719749450684,-11.6089324951172
"93","ERS490163","South.Atlantic.Ocean",18.0459,-34.8901,"North.Atlantic.Ocean",-14.8562194482921,24.8714020858704
"94","ERS491874","South.Pacific.Ocean",-96.0122,-12.9723,"South.Pacific.Ocean",-77.2200872463931,-11.6633187801612
"95","ERS488621","Red.Sea",38.2517,21.9467,"Red.Sea",40.7591972185971,19.7554352889748
