"","n_vars","accuracy"
"1",50,0.869788161532979
"2",100,0.878625292004757
"3",200,0.882796187419915
"4",300,0.87861985882159
"5",500,0.874445655340271
"6",1500,0.848896931934649
"7",3669,0.832918807241058
